,address,issue_reported,location_latitude,location_longitude,published_date
268,W 25th St & Guadalupe St,Crash Urgent,30.288762,-97.741461,2017-10-15
269,5150 E Sh 71 Eb,COLLISION,30.1869627,-97.5589314,2017-10-02
270,13609-13749 N Us 183 Hwy Nb,Traffic Hazard,30.459683,-97.793199,2017-10-16
271,600-1625 S Sh 130 Nb,COLLISION WITH INJURY,30.2368152,-97.6172488,2017-10-03
272,5701 W Slaughter Ln,Crash Service,30.2009076,-97.8669715,2017-09-27
274,1415 S Congress Ave,Crash Service,30.2492459,-97.7497564,2017-10-06
275,Mopac To Research Sb Ramp & Research Blvd Sb,Traffic Hazard,30.374162,-97.728645,2017-10-12
276,11800 S Ih 35 Sb,Crash Urgent,30.1298708,-97.8002579,2017-10-09
277,S Mopac Expy Nb & William Cannon To Mopa Nb Ramp,Traffic Hazard,30.2239775,-97.833419,2017-10-03
278,5510 S Ih 35 Svrd Sb,Crash Service,30.200677,-97.762771,2017-10-14
279,11000-11004 Pecan Park Blvd,Traffic Impediment,30.465989,-97.803950,2017-10-14
280,Pascal Ln & N Capital Of Texas Hwy Nb,Traffic Hazard,30.3154594,-97.8260571,2017-10-04
281,6801-7011 River Place Blvd,Crash Service,30.398794,-97.844999,2017-10-17
282,3300 Bee Caves Rd,COLLISION/PRIVATE PROPERTY,30.274971,-97.801126,2017-10-09
283,Teri Rd & S Ih 35 Svrd Nb,zSTALLED VEHICLE,30.205430,-97.757853,2017-10-14
284,7600 S Mopac Expy Nb,Traffic Hazard,30.215993,-97.851267,2017-10-16
285,11500 S Ih 35 Sb,Traffic Hazard,30.1345553,-97.7984368,2017-10-02
286,100-103 S LAMAR BLVD,Traffic Impediment,30.266438,-97.756290,2017-10-12
287,10901 Research Blvd Svrd Nb,Crash Service,30.4014693,-97.7452949,2017-09-29
288,E Ben White Eb To S 35 Sb Ramp & S Ih 35 Sb,zSTALLED VEHICLE,30.209743,-97.755679,2017-10-16
289,23800 Pedernales Canyon Trl,COLLISN/ LVNG SCN,30.381464,-98.095086,2017-10-16
291,6400-6625 S Mopac Expy Svrd Nb,Traffic Hazard,30.220495,-97.835669,2017-10-14
292,4900 W Us 290 Hwy Svrd Wb,zSTALLED VEHICLE,30.2338016,-97.8153787,2017-09-29
293,14028 N Us 183 Hwy Svrd Sb,Crash Urgent,30.476099,-97.800765,2017-10-12
294,8600 N Lamar Blvd,Crash Service,30.354524,-97.704068,2017-10-16
295,96-97 S 1st St,Traffic Hazard,30.2619783,-97.7484084,2017-10-07
296,Central Commerce Dr & W Pecan St,TRFC HAZD/ DEBRIS,30.448869,-97.656096,2017-10-13
